important nonlinear data::important nonlinear data
guaranteed logarithmic bounds::guaranteed logarithmic bounds
pairs is based::pairs is based
fusion operation takes::fusion operation takes
provide for fast::provide for fast
fast map search::fast map search
structure we discuss::structure we discuss
trees although avl::trees although avl
number of nice::number of nice
disadvantages for instance::disadvantages for instance
trees may require::trees may require
require many restructure::require many restructure
require many split::require many split
split or fusing::split or fusing
insertion or removal::insertion or removal
removal the data::removal the data
update in order::update in order
order to stay::order to stay
nodes colored red::nodes colored red
red and black::red and black
root is black::root is black
black red property::black red property
black depth property::black depth property
number of black::number of black
red nodes drawn::red nodes drawn
drawn in white::drawn in white
white the common::white the common
common black depth::common black depth
make the red-black::make the red-black
red-black tree definition::red-black tree definition
definition more intuitive::definition more intuitive
intuitive by noting::intuitive by noting
noting an interesting::noting an interesting
correspondence between red-black::correspondence between red-black
excluding their trivial::excluding their trivial
trivial external nodes::trivial external nodes
tree by merging::tree by merging
merging every red::merging every red
storing the entry::storing the entry
red-black tree corresponds::red-black tree corresponds
red-black tree contributes::red-black tree contributes
tree by coloring::tree by coloring
coloring each node::coloring each node
node w black::node w black
grouping of red::grouping of red
make the first::make the first
two new red::two new red
red-black tree storing::red-black tree storing
correspondence between nodes::correspondence between nodes
search trees justification::search trees justification
proposition by establishing::proposition by establishing
excluding trivial leaves::excluding trivial leaves
nodes 11.6.1 red-black::nodes 11.6.1 red-black
11.6.1 red-black tree::11.6.1 red-black tree
red-black tree operations::red-black tree operations
operations the algorithm::operations the algorithm
red-black tree takes::red-black tree takes
takes time proportional::takes time proportional
trees and red-black::trees and red-black
trees provides important::trees provides important
updates in red-black::updates in red-black
algorithms for red-black::algorithms for red-black
split and fuse::split and fuse
mimicked by recoloring::mimicked by recoloring
recoloring neighboring red-black::recoloring neighboring red-black
neighboring red-black tree::neighboring red-black tree
red-black tree nodes::red-black tree nodes
nodes a rotation::nodes a rotation
algorithm initially proceeds::algorithm initially proceeds
reach a null::reach a null
storing the item::storing the item
color it black::color it black
color x red::color x red
red this action::red this action
corresponds to inserting::corresponds to inserting
children the insertion::children the insertion
preserves the root::preserves the root
root and depth::root and depth
violate the red::violate the red
parent are red::parent are red
call this violation::call this violation
property a double::property a double
red at node::red at node
remedy a double::remedy a double
red-black trees case::red-black trees case
double red denotes::double red denotes
denotes the fact::denotes the fact
creating a malformed::creating a malformed
4-node this formation::4-node this formation
two red nodes::two red nodes
nodes as siblings::nodes as siblings
fix this problem::fix this problem
perform a trinode::perform a trinode
restructuring is done::restructuring is done
inorder tree traversal::inorder tree traversal
tree traversal replace::tree traversal replace
replace the grandparent::replace the grandparent
keeping inorder relationships::keeping inorder relationships
inorder relationships unchanged::inorder relationships unchanged
unchanged after performing::unchanged after performing
performing the restructure::performing the restructure
color b black::color b black
eliminates the double-red::eliminates the double-red
double-red problem notice::double-red problem notice
tree is incident::tree is incident
tree is unaffected::tree is unaffected
restructuring a red-black::restructuring a red-black
tree to remedy::tree to remedy
search trees case::search trees case
denotes an overflow::denotes an overflow
fix the problem::fix the problem
perform the equivalent::perform the equivalent
parent z red::parent z red
double-red problem reappears::double-red problem reappears
repeat the consideration::repeat the consideration
recoloring either eliminates::recoloring either eliminates
problem at node::problem at node
resolve the double-red::resolve the double-red
number of recolorings::number of recolorings
half the height::half the height
height of tree::height of tree
recoloring to remedy::recoloring to remedy
remedy the double-red::remedy the double-red
sequence of insertion::sequence of insertion
root remains black::root remains black
continues in figure::continues in figure
continued from figure::continued from figure
removal a node::removal a node
originally containing key::originally containing key
node was red::node was red
affect the black::affect the black
introduce any red::introduce any red
resulting tree remains::resulting tree remains
remains a valid::remains a valid
valid red-black tree::valid red-black tree
denotes the shrinking::denotes the shrinking
node was black::node was black
node has black::node has black
removed node represents::removed node represents
represents the black::represents the black
restore the redblack::restore the redblack
properties by recoloring::properties by recoloring
recoloring the promoted::recoloring the promoted
child to black::child to black
leaf is removed::leaf is removed
denotes the removal::denotes the removal
2-node without rebalancing::2-node without rebalancing
item by necessity::item by necessity
sibling whose subtree::sibling whose subtree
subtree has black::subtree has black
remedy this scenario::remedy this scenario
theavy and tlight::theavy and tlight
root of tlight::root of tlight
depth of theavy::depth of theavy
removed black leaf::removed black leaf
leaf and tlight::leaf and tlight
trivially the empty::trivially the empty
subtree that remains::subtree that remains
deletion we describe::deletion we describe
algorithm for rebalancing::algorithm for rebalancing
rebalancing the tree::rebalancing the tree
push the deficit::push the deficit
tree sometimes cascades::tree sometimes cascades
denote the root::denote the root
root of theavy::root of theavy
exists because theavy::exists because theavy
theavy has black::theavy has black
tlight z figure::tlight z figure
subtrees of node::subtrees of node
color in illustrating::color in illustrating
colored either black::colored either black
black or red::black or red
cases to remedy::cases to remedy
remedy a deficit::remedy a deficit
takes the node::takes the node
two we color::two we color
path to tlight::path to tlight
includes one additional::includes one additional
additional black node::additional black node
resolving its deficit::resolving its deficit
deficit in contrast::deficit in contrast
nodes on paths::nodes on paths
remains unchanged resolving::remains unchanged resolving
resolving this case::resolving this case
red child assures::red child assures
4-node in effect::4-node in effect
item previously stored::item previously stored
2-node to resolve::2-node to resolve
resolve the deficiency::resolve the deficiency
child is promoted::child is promoted
resolving a black::resolving a black
deficit in tlight::deficit in tlight
tlight by performing::tlight by performing
performing a trinode::performing a trinode
restructuring as restructure::restructuring as restructure
two possible configurations::two possible configurations
configurations are shown::configurations are shown
two other configurations::two other configurations
configurations are symmetric::configurations are symmetric
left figures denotes::left figures denotes
colored either red::colored either red
red or black::red or black
black the root::black the root
color y red::color y red
resolves the deficit::resolves the deficit
leading to tlight::leading to tlight
affect the number::affect the number
subtrees of theavy::subtrees of theavy
increased the number::increased the number
reduced the number::reduced the number
path to theavy::path to theavy
entire tree rooted::entire tree rooted
propogating the problem::propogating the problem
reversing the colors::reversing the colors
resolves the black::resolves the black
ending the process::ending the process
requiring a cascading::requiring a cascading
red and theavy::red and theavy
black depth equal::black depth equal
perform a rotation::perform a rotation
recolor y black::recolor y black
red this denotes::red this denotes
denotes a reorientation::denotes a reorientation
resolve the deficit::resolve the deficit
black height equal::black height equal
reapply the algorithm::reapply the algorithm
algorithm to resolve::algorithm to resolve
applies or case::applies or case
terminal and case::terminal and case
rotation and recoloring::rotation and recoloring
recoloring about red::recoloring about red
assuming a black::assuming a black
change of orientation::change of orientation
tree this operation::tree this operation
black deficit remains::black deficit remains
remains at node::remains at node
transformation in figure::transformation in figure
sequence of deletions::sequence of deletions
tree a dashed::tree a dashed
represents a branch::represents a branch
resolved we illustrate::resolved we illustrate
illustrate a case::illustrate a case
restructuring in parts::restructuring in parts
recoloring in parts::recoloring in parts
rotation between parts::rotation between parts
recoloring in part::recoloring in part
causing a black::causing a black
handled by restructuring::handled by restructuring
handled by recoloring::handled by recoloring
rotation the black::rotation the black
search trees performance::search trees performance
performance of red-black::performance of red-black
tree in terms::tree in terms
logarithmic time bounds::logarithmic time bounds
number of restructuring::number of restructuring
contrast to avl::contrast to avl
require a logarithmic::require a logarithmic
number of structural::number of structural
red-black tree requires::red-black tree requires
tree requires logarithmic::tree requires logarithmic
number of recoloring::number of recoloring
operations that cascade::operations that cascade
number of rotations::number of rotations
rotations or restructure::rotations or restructure
single map operation::single map operation
map operation proposition::map operation proposition
trinode restructuring justification::trinode restructuring justification
potential upward effort::potential upward effort
effort to remedy::effort to remedy
remedy a double-red::remedy a double-red
logarithmically many recoloring::logarithmically many recoloring
recoloring operations due::recoloring operations due
cascading of case::cascading of case
operation is needed::operation is needed
red-black tree insertion::red-black tree insertion
tree insertion proposition::tree insertion proposition
algorithm for deleting::algorithm for deleting
two restructuring operations::two restructuring operations
restructuring operations justification::restructuring operations justification
search tree deletion::search tree deletion
tree deletion algorithm::tree deletion algorithm
requires time proportional::requires time proportional
subsequent rebalancing takes::subsequent rebalancing takes
rebalancing takes place::rebalancing takes place
node we considered::node we considered
considered three cases::considered three cases
remedy a resulting::remedy a resulting
resulting black deficit::resulting black deficit
black deficit case::black deficit case
requires a trinode::requires a trinode
completes the process::completes the process
case is applied::case is applied
logarithmically many times::logarithmically many times
involves a recoloring::involves a recoloring
nodes per application::nodes per application
requires a rotation::requires a rotation
resolve the problem::resolve the problem
recolorings from case::recolorings from case
rotation from case::rotation from case
restructuring from case::restructuring from case
11.6.2 python implementation::11.6.2 python implementation
implementation a complete::implementation a complete
standard treemap class::standard treemap class
class and relies::class and relies
balancing framework described::balancing framework described
11.2.1 we begin::11.2.1 we begin
overriding the definition::overriding the definition
class to introduce::class to introduce
introduce an additional::introduce an additional
additional boolean field::additional boolean field
field to denote::field to denote
node our constructor::node our constructor
constructor intentionally sets::constructor intentionally sets
sets the color::sets the color
node to red::node to red
approach for inserting::approach for inserting
items we define::items we define
define several additional::define several additional
additional utility functions::additional utility functions
top of code::top of code
aid in setting::aid in setting
setting the color::setting the color
color of nodes::color of nodes
nodes and querying::nodes and querying
querying various conditions::querying various conditions
rebalance insert hook::rebalance insert hook
opportunity to modify::opportunity to modify
modify the tree::modify the tree
node is red::node is red
red by default::red by default
node s parent::node s parent
red to remedy::red to remedy
remedy such violations::remedy such violations
follow the case::follow the case
case analysis described::case analysis described
11.6.1 the rebalancing::11.6.1 the rebalancing
11.6.1 an additional::11.6.1 an additional
tree that hook::tree that hook
hook is invoked::hook is invoked
case analysis depends::case analysis depends
depends on knowing::depends on knowing
engineer that information::engineer that information
information by relying::information by relying
red-black tree properties::red-black tree properties
denotes the parent::denotes the parent
causing a deficit::causing a deficit
productivity experts::productivity experts
thinking nonlinearly::thinking nonlinearly
important nonlinear::important nonlinear
nonlinear data::nonlinear data
data structures::data structures
computing trees::computing trees
trees tree::trees tree
tree structures::tree structures
data organization::data organization
linear data::linear data
array-based lists::array-based lists
linked lists::linked lists
lists trees::lists trees
natural organization::natural organization
ubiquitous structures::ubiquitous structures
file systems::file systems
graphical user::graphical user
user interfaces::user interfaces
web sites::web sites
computer systems::computer systems
organizational relationship::organizational relationship
main terminology::main terminology
tree data::tree data
family trees::family trees
terms parent::terms parent
common words::common words
describe relationships::describe relationships
family tree::family tree
general trees::general trees
tree definitions::tree definitions
abstract data::abstract data
data type::data type
stores elements::stores elements
elements hierarchically::elements hierarchically
top element::top element
parent element::parent element
children elements::children elements
placing elements::placing elements
elements inside::elements inside
inside ovals::inside ovals
straight lines::straight lines
highest element::highest element
botanical tree::botanical tree
africa europe::africa europe
europe asia::europe asia
asia australia::asia australia
australia canada::australia canada
domestic international::domestic international
r&d sales::r&d sales
sales purchasing::sales purchasing
purchasing manufacturing::purchasing manufacturing
manufacturing electronics::manufacturing electronics
nodes representing::nodes representing
fictitious corporation::fictitious corporation
root stores::root stores
stores electronics::stores electronics
root store::root store
internal nodes::internal nodes
nodes store::nodes store
store sales::store sales
formal tree::formal tree
tree definition::tree definition
nodes storing::nodes storing
storing elements::storing elements
parent-child relationship::parent-child relationship
special node::special node
unique parent::unique parent
parent node::parent node
node relationships::node relationships
external nodes::external nodes
hierarchical relationship::hierarchical relationship
file system::file system
regular files::regular files
linux operating::linux operating
operating systems::operating systems
root directory::root directory
hw1 hw2::hw1 hw2
hw2 hw3::hw2 hw3
hw3 pr1::hw3 pr1
pr1 pr2::pr1 pr2
pr2 pr3::pr2 pr3
pr3 grades::pr3 grades
buylow sellhigh::buylow sellhigh
sellhigh market::sellhigh market
market grades::market grades
grades figure::grades figure
tree representing::tree representing
tree consisting::tree consisting
subtree rooted::subtree rooted
pr3 edges::pr3 edges
vice versa::vice versa
consecutive nodes::consecutive nodes
sequence form::sequence form
inheritance relation::inheritance relation
python program::python program
program forms::program forms
single inheritance::single inheritance
exception types::exception types
originally figure::originally figure
baseexception class::baseexception class
user-defined exception::user-defined exception
exception classes::exception classes
specific exception::specific exception
exception class::exception class
empty class::empty class
code fragment::code fragment
single hierarchy::single hierarchy
built-in class::built-in class
class named::class named
named object::named object
ultimate base::ultimate base
base class::base class
indirect base::indirect base
hierarchy pictured::hierarchy pictured
complete class::complete class
class hierarchy::class hierarchy
tree arraybinarytree::tree arraybinarytree
arraybinarytree linkedbinarytree::arraybinarytree linkedbinarytree
linkedbinarytree tree::linkedbinarytree tree
tree binarytree::tree binarytree
binarytree linkedtree::binarytree linkedtree
linkedtree figure::linkedtree figure
inheritance hierarchy::inheritance hierarchy
provide implementations::provide implementations
linkedbinarytree classes::linkedbinarytree classes
highlevel sketches::highlevel sketches
trees ordered::trees ordered
ordered trees::ordered trees
meaningful linear::meaningful linear
linear order::linear order
arranging siblings::arranging siblings
siblings left::siblings left
structured document::structured document
tree corresponds::tree corresponds
show paragraphs::show paragraphs
paragraphs consisting::paragraphs consisting
sentences consisting::sentences consisting
words consisting::words consisting
ordered tree::ordered tree
well-defined order::well-defined order
node figure::node figure
generational relationships::generational relationships
siblings ordered::siblings ordered
organizational chart::organizational chart
unordered tree::unordered tree
tree likewise::tree likewise
parent class::parent class
operating system::operating system
displays entries::displays entries
tree abstract::tree abstract
positional lists::positional lists
tree adt::tree adt
positions satisfy::positions satisfy
parent-child relationships::parent-child relationships
tree structure::tree structure
position object::position object
tree supports::tree supports
element stored::element stored
accessor methods::accessor methods
empty t.is::empty t.is
t.is root::t.is root
return true::return true
t.num children::t.num children
t.is leaf::t.is leaf
children len::children len
t.is empty::t.is empty
positions t.positions::positions t.positions
elements stored::elements stored
natural order::natural order
empty iteration::empty iteration
similar regard::similar regard
generate empty::generate empty
empty iterations::empty iterations
general means::general means
modifying trees::modifying trees
tree update::tree update
update methods::update methods
specific implementations::specific implementations
tree interface::tree interface
specific applications::specific applications
abstract base::abstract base
object-oriented design::object-oriented design
design principle::design principle
public interface::public interface
duck typing::duck typing
queue adt::queue adt
queue interface::queue interface
formal definition::formal definition
concrete implementations::concrete implementations
self-contained classes::self-contained classes
formal mechanism::formal mechanism
concrete classes::concrete classes
tree class::tree class
greater code::greater code
code reuse::code reuse
concrete tree::concrete tree
tree implementations::tree implementations
nested position::nested position
position class::position class
methods included::methods included
internal representation::internal representation
fragment remain::fragment remain
remain abstract::remain abstract
num children::num children
methods raises::methods raises
formal approach::formal approach
defining abstract::defining abstract
base classes::base classes
abstract methods::abstract methods
abc module::abc module
overriding abstract::overriding abstract
working implementation::working implementation
concrete methods::concrete methods
previous section::previous section
ten accessor::ten accessor
general algorithms::general algorithms
iter methods::iter methods
methods defined::methods defined
direct instance::direct instance
class exists::class exists
create instances::create instances
concrete subclasses::concrete subclasses
computing depth::computing depth
node storing::node storing
definition implies::definition implies
recursive algorithm::recursive algorithm
method calls::method calls
value returned::value returned
def depth::def depth
levels separating::levels separating
separating position::separating position
self.is root::self.is root
method depth::method depth
algorithm performs::algorithm performs
constant-time recursive::constant-time recursive
recursive step::recursive step
total number::total number
nodes form::nodes form
single branch::single branch
input size::input size
nonempty tree::nonempty tree
leaf positions::leaf positions
nonpublic method::nonpublic method
method height1::method height1
algorithm depth::algorithm depth
algorithm height1::algorithm height1
height1 calls::height1 calls
calls algorithm::calls algorithm
worst case::worst case
exercise c-8.33::exercise c-8.33
height1 runs::height1 runs
original recursive::original recursive
recursive definition::recursive definition
function based::function based
algorithm height2::algorithm height2
top-down fashion::top-down fashion
turn invokes::turn invokes
height2 algorithm::height2 algorithm
nonrecursive part::nonrecursive part
review section::review section
recursive processes::recursive processes
constant amount::constant amount
concrete implementation::concrete implementation
height2 spends::height2 spends
property proposition::property proposition
compute heights::compute heights
entire tree::entire tree
tree root::tree root
nonpublic height2::nonpublic height2
public height::public height
height method::height method
default interpretation::default interpretation
binary trees::binary trees
binary tree::binary tree
child node::child node
left child::left child
right child::right child
child precedes::child precedes
internal node::internal node
left subtree::left subtree
full binary::full binary
proper binary::proper binary
important class::important class
trees arises::trees arises
yes-or-no questions::yes-or-no questions
question starting::question starting
current node::current node
decision trees::decision trees
leaf position::leaf position
tree represents::tree represents
decision tree::decision tree
tree figure::tree figure
prospective investor::prospective investor
investor chapter::investor chapter
arithmetic expression::arithmetic expression
binary treewhose::binary treewhose
treewhose leaves::treewhose leaves
expression tree::expression tree
unary operators::unary operators
improper binary::improper binary
node labeled::node labeled
recursive binary::recursive binary
right subtree::right subtree
additional accessor::additional accessor
child t.sibling::child t.sibling
specialized update::specialized update
binarytree abstract::binarytree abstract
binarytree class::binarytree class
class based::class based
existing tree::existing tree
class remains::class remains
remains abstract::remains abstract
complete specifications::complete specifications
python implementation::python implementation
class definition::class definition
methods left::methods left
sibling method::sibling method
children method::children method
ordered children::ordered children
children based::children based
implied behavior::implied behavior
interesting properties::interesting properties
properties dealing::properties dealing
nodes figure::nodes figure
maximum number::maximum number
tree grows::tree grows
simple observation::simple observation
properties relating::properties relating
detailed justification::detailed justification
exercise r-8.8::exercise r-8.8
r-8.8 proposition::r-8.8 proposition
nonempty binary::nonempty binary
trees relating::trees relating
earlier binary::earlier binary
tree properties::tree properties
relationship exists::relationship exists
tree proposition::tree proposition
nonempty proper::nonempty proper
removing nodes::removing nodes
internal-node pile::internal-node pile
external-node pile::external-node pile
initially empty::initially empty
empty case::empty case
external node::external node
tree repeating::tree repeating
final tree::final tree
single node::single node
node note::node note
respective piles::respective piles
operations leading::operations leading
pile figure::pile figure
nonbinary trees::nonbinary trees
interesting relationships::interesting relationships
implementing trees::implementing trees
binarytree classes::binarytree classes
formally abstract::formally abstract
great deal::great deal
directly instantiated::directly instantiated
key implementation::key implementation
implementation details::implementation details
provide methods::provide methods
methods root::methods root
additional accessors::additional accessors
accessors left::accessors left
common representations::common representations
narrowly defined::narrowly defined
linked structure::linked structure
maintains references::maintains references
parent field::parent field
variable storing::variable storing
root node::root node
structure representation::structure representation
concrete linkedbinarytree::concrete linkedbinarytree
linkedbinarytree class::linkedbinarytree class
general approach::general approach
nonpublic node::nonpublic node
node class::node class
public position::public position
validate utility::validate utility
position instance::position instance
make position::make position
position utility::position utility
nested class::nested class
minor benefit::minor benefit
class inherits::class inherits
special method::special method
definition continues::definition continues
constructor creates::constructor creates
empty tree::empty tree
initializing root::initializing root
position utilities::position utilities
boundary cases::boundary cases
cases operations::cases operations
linked binary::linked binary
provided functionality::provided functionality
class results::class results
encapsulation suggests::encapsulation suggests
outward behaviors::outward behaviors
operations depends::operations depends
class offer::class offer
suitable options::suitable options
update operations::update operations
update method::update method
method t.replace::method t.replace
general method::general method
case study::case study
reasonable set::reasonable set
general usage::general usage
t.add root::t.add root
error occurs::error occurs
empty t.add::empty t.add
t.add left::t.add left
storing element::storing element
resulting position::resulting position
child t.add::child t.add
t.add right::t.add right
child t.replace::child t.replace
stored element::stored element
internal structure::internal structure
empty trees::empty trees
error condition::error condition
condition occurs::condition occurs
linked representation::linked representation
case analyses::case analyses
boundary conditions::boundary conditions
constant number::constant number
tree representation::tree representation
sentinel node::sentinel node
undesirable update::undesirable update
publicly supported::publicly supported
nonpublic versions::nonpublic versions
public delete::public delete
code fragments::code fragments
nonpublic methods::nonpublic methods
nonpublic update::nonpublic update
public method::public method
mutablelinkedbinarytree subclass::mutablelinkedbinarytree subclass
public methods::public methods
methods wrapping::methods wrapping
trees performance::trees performance
tree implementation::tree implementation
running times::running times
linkedbinarytree methods::linkedbinarytree methods
derived methods::derived methods
len method::len method
single call::single call
children methods::children methods
leaf methods::leaf methods
root calls::root calls
calls root::calls root
equivalence testing::equivalence testing
leaf calls::leaf calls
methods depth::methods depth
depth method::depth method
tree runs::tree runs
methods add::methods add
add root::add root
add left::add left
add right::add right
nonpublic implementations::nonpublic implementations
operation table::operation table
structure implementation::structure implementation
tree operation::tree operation
operation running::operation running
n-node binary::n-node binary
tree implemented::tree implemented
space usage::space usage
array-based representation::array-based representation
alternative representation::alternative representation
integer defined::integer defined
numbering function::numbering function
level numbering::level numbering
increasing order::increasing order
potential positions::potential positions
actual positions::actual positions
necessarily consecutive::necessarily consecutive
array-based structure::array-based structure
python list::python list
single integer::single integer
position-based methods::position-based methods
arithmetic operations::arithmetic operations
complete implementation::complete implementation
representation depends::representation depends
maximum value::maximum value
requires length::requires length
elements range::elements range
empty cells::empty cells
existing nodes::existing nodes
worst-case space::worst-case space
array representation::array representation
space efficient::space efficient
general binary::general binary
exponential worst-case::exponential worst-case
space requirement::space requirement
efficiently supported::efficiently supported
child takes::child takes
moves locations::moves locations
maintains fields::maintains fields
fields left::fields left
individual children::individual children
general tree::general tree
priori limit::priori limit
node store::node store
single container::single container
children field::children field
representation .figure::representation .figure
larger portion::larger portion
data structure::data structure
implement children::implement children
collection operation::collection operation
n-node general::n-node general
tree traversal::tree traversal
traversal algorithms::traversal algorithms
specific action::specific action
complex computation::complex computation
common traversal::common traversal
traversal schemes::traversal schemes
tree classes::tree classes
common applications::common applications
tree traversals::tree traversals
postorder traversals::postorder traversals
preorder traversal::preorder traversal
subtrees rooted::subtrees rooted
traversed recursively::traversed recursively
algorithm preorder::algorithm preorder
visit action::visit action
sample tree::sample tree
traversal algorithm::traversal algorithm
algorithm paper::algorithm paper
paper title::paper title
title abstract::title abstract
algorithms postorder::algorithms postorder
postorder traversal::postorder traversal
important tree::important tree
algorithm postorder::algorithm postorder
running-time analysis::running-time analysis
efficient ways::efficient ways
algorithm requires::algorithm requires
breadth-first tree::breadth-first tree
common ways::common ways
common approach::common approach
breadth-first traversal::breadth-first traversal
playing games::playing games
game tree::game tree
initial configuration::initial configuration
partial game::partial game
tic-tac-toe figure::tic-tac-toe figure
annotations displaying::annotations displaying
complete game::complete game
limited amount::limited amount
entire subtrees::entire subtrees
first-in first-out::first-in first-out
visit nodes::visit nodes
dequeue algorithm::dequeue algorithm
algorithm breadthfirst::algorithm breadthfirst
initialize queue::initialize queue
oldest entry::oldest entry
inorder traversal::inorder traversal
standard preorder::standard preorder
breadth-first traversals::breadth-first traversals
recursive traversals::recursive traversals
right subtrees::right subtrees
traversal visits::traversal visits
algorithm inorder::algorithm inorder
important applications::important applications
visits positions::visits positions
consistent order::consistent order
standard representation::standard representation
binary search::binary search
search trees::search trees
important application::important application
algorithm arises::algorithm arises
ordered sequence::ordered sequence
search tree::search tree
unique elements::unique elements
order relation::order relation
properties assure::properties assure
nondecreasing order::nondecreasing order
tree storing::tree storing
storing integers::storing integers
solid path::solid path
dashed path::dashed path
search value::search value
internal position::internal position
search continues::search continues
search terminates::search terminates
terminates successfully::terminates successfully
empty subtree::empty subtree
terminates unsuccessfully::terminates unsuccessfully
binary decision::binary decision
question asked::question asked
search operation::search operation
small height::small height
height chapter::height chapter
implementing tree::implementing tree
first defining::first defining
include support::include support
iterations report::iterations report
presumed iteration::presumed iteration
method iter::method iter
class tree::class tree
generator syntax::generator syntax
producing iterations::producing iterations
tree iter::tree iter
def iter::def iter
element code::element code
tree instance::tree instance
positions method::positions method
traversal orders::traversal orders
independent implementations::independent implementations
default order::default order
adt preorder::adt preorder
calling signature::calling signature
signature t.preorder::signature t.preorder
preorder iteration::preorder iteration
specific position::specific position
standard solution::standard solution
nonpublic utility::nonpublic utility
utility method::utility method
recursive parameterization::recursive parameterization
method preorder::method preorder
preorder invoke::preorder invoke
def preorder::def preorder
self.is empty::self.is empty
subtree preorder::subtree preorder
start recursion::start recursion
def subtree::def subtree
caller code::caller code
utility subtree::utility subtree
caller decide::caller decide
preorder method::preorder method
traditional functions::traditional functions
positions yielded::positions yielded
recursive call::recursive call
outer context::outer context
context note::context note
base case::base case
similar technique::similar technique
public preorder::public preorder
recursive process::recursive process
process starting::process starting
full support::full support
preorder generator::preorder generator
write code::write code
visit position::visit position
official tree::official tree
adt requires::adt requires
trees support::trees support
definition shown::definition shown
results returned::results returned
preorder call::preorder call
entire iteration::entire iteration
def positions::def positions
return self.preorder::return self.preorder
return entire::return entire
entire preorder::entire preorder
iteration code::iteration code
recursive utility::recursive utility
yield position::yield position
def postorder::def postorder
postorder iteration::postorder iteration
subtree postorder::subtree postorder
subtrees code::subtrees code
class breadth-first::class breadth-first
class recall::class recall
traversal process::traversal process
linkedqueue class::linkedqueue class
suffice inorder::suffice inorder
abstract binarytree::abstract binarytree
dependent tree::dependent tree
def breadthfirst::def breadthfirst
breadth-first iteration::breadth-first iteration
fringe.is empty::fringe.is empty
add children::add children
queue code::queue code
def inorder::def inorder
inorder iteration::inorder iteration
subtree inorder::subtree inorder
child exists::child exists
natural iteration::natural iteration
inherited version::inherited version
make inorder::make inorder
return self.inorder::return self.inorder
default code::default code
binarytree.position method::binarytree.position method
representative applications::representative applications
standard traversal::standard traversal
algorithms table::algorithms table
hierarchical structure::hierarchical structure
simple presentation::simple presentation
attractive presentation::attractive presentation
presentation produced::presentation produced
element based::element based
similar presentation::similar presentation
paper paper::paper paper
title title::title title
abstract abstract::abstract abstract
document represented::document represented
indentation based::indentation based
unindented version::unindented version
root element::root element
statement print::statement print
unnecessarily inefficient::unnecessarily inefficient
traversal runs::traversal runs
depth incur::depth incur
hidden cost::hidden cost
cost making::cost making
tree results::tree results
preferred approach::preferred approach
indented table::indented table
top-down recursion::top-down recursion
current depth::current depth
additional parameter::additional parameter
implementation runs::implementation runs
print strings::print strings
increasing lengths::increasing lengths
preorder indent::preorder indent
print preorder::print preorder
preorder representation::preorder representation
child depth::child depth
efficient recursion::efficient recursion
printing indented::printing indented
indented version::indented version
complete tree::complete tree
form preorder::form preorder
label depends::label depends
current position::current position
recursive signature::recursive signature
zero-indexed numbers::zero-indexed numbers
downward path::downward path
oneindexed form::oneindexed form
implementation level::implementation level
list instance::list instance
recursive calls::recursive calls
extraneous entry::extraneous entry
implementation based::implementation based
preorder label::preorder label
print labeled::print labeled
labeled representation::labeled representation
displayed labels::displayed labels
path entries::path entries
labeled presentation::labeled presentation
parenthetic representations::parenthetic representations
preorder sequence::preorder sequence
additional context::additional context
numbered labels::numbered labels
human-friendly presentation::human-friendly presentation
concise string::concise string
string representations::string representations
parenthetic string::parenthetic string
string representation::string representation
single position::single position
denote string::denote string
string concatenation::string concatenation
parenthetic representation::parenthetic representation
line breaks::line breaks
additional punctuation::additional punctuation
formal implementation::formal implementation
opening parenthesis::opening parenthesis
closing parenthesis::closing parenthesis
separating commas::separating commas
python function::python function
function parenthesize::function parenthesize
custom traversal::custom traversal
def parenthesize::def parenthesize
print parenthesized::print parenthesized
parenthesized representation::parenthesized representation
end avoids::end avoids
avoids trailing::avoids trailing
trailing newline::trailing newline
determine proper::determine proper
proper separator::proper separator
future passes::future passes
include closing::include closing
parenthesis code::parenthesis code
tree computing::tree computing
computing disk::computing disk
disk space::disk space
file-system structure::file-system structure
internal positions::internal positions
positions representing::positions representing
representing directories::representing directories
leaves representing::leaves representing
representing files::representing files
disk usage::disk usage
recursive computation::recursive computation
total space::total space
children directories::children directories
previous positions::previous positions
positions represent::positions represent
represent children::represent children
recursive disk::recursive disk
return information::return information
custom solution::custom solution
space problem::space problem
recursion providing::recursion providing
return value::return value
def disk::def disk
return total::return total
total disk::total disk
add child::add child
return subtotal::return subtotal
subtotal code::subtotal code
tree element::tree element
element reports::element reports
local space::local space
euler tours::euler tours
template method::template method
method pattern::method pattern
applications described::applications described
great power::great power
recursive tree::recursive tree
postorder methods::postorder methods
inorder method::inorder method
initial work::initial work
work performed::work performed
additional work::additional work
complete path::complete path
previous applications::previous applications
custom implementation::custom implementation
recursive ideas::recursive ideas
great principles::great principles
object-oriented programming::object-oriented programming
programming introduced::programming introduced
include adaptability::include adaptability
general framework::general framework
traversals based::traversals based
euler tour::euler tour
tour traversal::tour traversal
leftmost child::leftmost child
notable visits::notable visits
pre visit::pre visit
visit occurs::visit occurs
first reaching::first reaching
walk passes::walk passes
post visit::post visit
proceeds upward::proceeds upward
recursive tour::recursive tour
contiguous portion::contiguous portion
entire tour::entire tour
contiguous subtours::contiguous subtours
algorithm eulertour::algorithm eulertour
interesting object-oriented::interesting object-oriented
object-oriented software::object-oriented software
software design::software design
design pattern::design pattern
pattern describes::pattern describes
generic computation::generic computation
